index,r,g,b
0,0,0,0
1,3,0,0
2,5,0,0
3,8,0,0
4,11,0,0
5,13,0,0
6,16,0,0
7,19,0,0
8,21,0,0
9,24,0,0
10,27,0,0
11,30,0,0
12,32,0,0
13,35,0,0
14,38,0,0
15,40,0,0
16,43,0,0
17,46,0,0
18,48,0,0
19,51,0,0
20,54,0,0
21,56,0,0
22,59,0,0
23,62,0,0
24,64,0,0
25,67,0,0
26,70,0,0
27,72,0,0
28,75,0,0
29,78,0,0
30,81,0,0
31,83,0,0
32,86,0,0
33,89,0,0
34,91,0,0
35,94,0,0
36,97,0,0
37,99,0,0
38,102,0,0
39,105,0,0
40,107,0,0
41,110,0,0
42,113,0,0
43,115,0,0
44,118,0,0
45,121,0,0
46,123,0,0
47,126,0,0
48,129,0,0
49,132,0,0
50,134,0,0
51,137,0,0
52,140,0,0
53,142,0,0
54,145,0,0
55,148,0,0
56,150,0,0
57,153,0,0
58,156,0,0
59,158,0,0
60,161,0,0
61,164,0,0
62,166,0,0
63,169,0,0
64,172,0,0
65,174,0,0
66,177,0,0
67,180,0,0
68,183,0,0
69,185,0,0
70,188,0,0
71,191,0,0
72,193,0,0
73,196,0,0
74,199,0,0
75,201,0,0
76,204,0,0
77,207,0,0
78,209,0,0
79,212,0,0
80,215,0,0
81,217,0,0
82,220,0,0
83,223,0,0
84,225,0,0
85,228,0,0
86,231,0,0
87,234,0,0
88,236,0,0
89,239,0,0
90,242,0,0
91,244,0,0
92,247,0,0
93,250,0,0
94,252,0,0
95,255,0,0
96,255,3,0
97,255,5,0
98,255,8,0
99,255,11,0
100,255,13,0
101,255,16,0
102,255,19,0
103,255,21,0
104,255,24,0
105,255,27,0
106,255,29,0
107,255,32,0
108,255,35,0
109,255,37,0
110,255,40,0
111,255,43,0
112,255,45,0
113,255,48,0
114,255,50,0
115,255,53,0
116,255,56,0
117,255,58,0
118,255,61,0
119,255,64,0
120,255,66,0
121,255,69,0
122,255,72,0
123,255,74,0
124,255,77,0
125,255,80,0
126,255,82,0
127,255,85,0
128,255,88,0
129,255,90,0
130,255,93,0
131,255,96,0
132,255,98,0
133,255,101,0
134,255,104,0
135,255,106,0
136,255,109,0
137,255,112,0
138,255,114,0
139,255,117,0
140,255,120,0
141,255,122,0
142,255,125,0
143,255,128,0
144,255,130,0
145,255,133,0
146,255,135,0
147,255,138,0
148,255,141,0
149,255,143,0
150,255,146,0
151,255,149,0
152,255,151,0
153,255,154,0
154,255,157,0
155,255,159,0
156,255,162,0
157,255,165,0
158,255,167,0
159,255,170,0
160,255,173,0
161,255,175,0
162,255,178,0
163,255,181,0
164,255,183,0
165,255,186,0
166,255,189,0
167,255,191,0
168,255,194,0
169,255,197,0
170,255,199,0
171,255,202,0
172,255,205,0
173,255,207,0
174,255,210,0
175,255,213,0
176,255,215,0
177,255,218,0
178,255,220,0
179,255,223,0
180,255,226,0
181,255,228,0
182,255,231,0
183,255,234,0
184,255,236,0
185,255,239,0
186,255,242,0
187,255,244,0
188,255,247,0
189,255,250,0
190,255,252,0
191,255,255,0
192,255,255,4
193,255,255,8
194,255,255,12
195,255,255,16
196,255,255,20
197,255,255,24
198,255,255,28
199,255,255,32
200,255,255,36
201,255,255,40
202,255,255,44
203,255,255,48
204,255,255,52
205,255,255,56
206,255,255,60
207,255,255,64
208,255,255,68
209,255,255,72
210,255,255,76
211,255,255,80
212,255,255,84
213,255,255,88
214,255,255,92
215,255,255,96
216,255,255,100
217,255,255,104
218,255,255,108
219,255,255,112
220,255,255,116
221,255,255,120
222,255,255,124
223,255,255,128
224,255,255,131
225,255,255,135
226,255,255,139
227,255,255,143
228,255,255,147
229,255,255,151
230,255,255,155
231,255,255,159
232,255,255,163
233,255,255,167
234,255,255,171
235,255,255,175
236,255,255,179
237,255,255,183
238,255,255,187
239,255,255,191
240,255,255,195
241,255,255,199
242,255,255,203
243,255,255,207
244,255,255,211
245,255,255,215
246,255,255,219
247,255,255,223
248,255,255,227
249,255,255,231
250,255,255,235
251,255,255,239
252,255,255,243
253,255,255,247
254,255,255,251
255,255,255,255
