index,r,g,b
0,0,0,0
1,0,1,1
2,1,3,3
3,1,4,4
4,1,6,6
5,2,7,7
6,2,9,9
7,3,10,10
8,3,12,12
9,3,13,13
10,4,15,15
11,4,16,16
12,4,18,18
13,5,19,19
14,5,21,21
15,6,22,22
16,6,24,24
17,6,25,25
18,7,26,26
19,7,28,28
20,7,29,29
21,8,31,31
22,8,32,32
23,8,34,34
24,9,35,35
25,9,37,37
26,10,38,38
27,10,40,40
28,10,41,41
29,11,43,43
30,11,44,44
31,11,46,46
32,12,47,47
33,12,49,49
34,13,50,50
35,13,51,51
36,13,53,53
37,14,54,54
38,14,56,56
39,14,57,57
40,15,59,59
41,15,60,60
42,15,62,62
43,16,63,63
44,16,65,65
45,17,66,66
46,17,68,68
47,17,69,69
48,18,71,71
49,18,72,72
50,18,74,74
51,19,75,75
52,19,77,77
53,19,78,78
54,20,79,79
55,20,81,81
56,21,82,82
57,21,84,84
58,21,85,85
59,22,87,87
60,22,88,88
61,22,90,90
62,23,91,91
63,23,93,93
64,24,94,94
65,24,96,96
66,24,97,97
67,25,99,99
68,25,100,100
69,25,102,102
70,26,103,103
71,26,104,104
72,26,106,106
73,27,107,107
74,27,109,109
75,28,110,110
76,28,112,112
77,28,113,113
78,29,115,115
79,29,116,116
80,29,118,118
81,30,119,119
82,30,121,121
83,31,122,122
84,31,124,124
85,31,125,125
86,32,127,127
87,32,128,128
88,34,129,127
89,36,130,126
90,38,132,124
91,41,133,123
92,43,134,122
93,45,135,121
94,47,137,119
95,49,138,118
96,51,139,117
97,53,140,116
98,56,141,114
99,58,143,113
100,60,144,112
101,62,145,111
102,64,146,110
103,66,148,108
104,68,149,107
105,71,150,106
106,73,151,105
107,75,152,103
108,77,154,102
109,79,155,101
110,81,156,100
111,83,157,98
112,86,159,97
113,88,160,96
114,90,161,95
115,92,162,94
116,94,163,92
117,96,165,91
118,98,166,90
119,101,167,89
120,103,168,87
121,105,170,86
122,107,171,85
123,109,172,84
124,111,173,82
125,113,174,81
126,116,176,80
127,118,177,79
128,120,178,78
129,122,179,76
130,124,181,75
131,126,182,74
132,128,183,73
133,131,184,71
134,133,185,70
135,135,187,69
136,137,188,68
137,139,189,66
138,141,190,65
139,144,192,64
140,146,193,63
141,148,194,62
142,150,195,60
143,152,196,59
144,154,198,58
145,156,199,57
146,159,200,55
147,161,201,54
148,163,202,53
149,165,204,52
150,167,205,50
151,169,206,49
152,171,207,48
153,174,209,47
154,176,210,46
155,178,211,44
156,180,212,43
157,182,213,42
158,184,215,41
159,186,216,39
160,189,217,38
161,191,218,37
162,193,220,36
163,195,221,34
164,197,222,33
165,199,223,32
166,201,224,31
167,204,226,30
168,206,227,28
169,208,228,27
170,210,229,26
171,212,231,25
172,214,232,23
173,216,233,22
174,219,234,21
175,221,235,20
176,223,237,18
177,225,238,17
178,227,239,16
179,229,240,15
180,231,242,14
181,234,243,12
182,236,244,11
183,238,245,10
184,240,246,9
185,242,248,7
186,244,249,6
187,246,250,5
188,249,251,4
189,251,253,2
190,253,254,1
191,255,255,0
192,255,251,0
193,255,247,0
194,255,243,0
195,255,239,0
196,255,235,0
197,255,231,0
198,255,227,0
199,255,223,0
200,255,219,0
201,255,215,0
202,255,211,0
203,255,207,0
204,255,203,0
205,255,199,0
206,255,195,0
207,255,191,0
208,255,187,0
209,255,183,0
210,255,179,0
211,255,175,0
212,255,171,0
213,255,167,0
214,255,163,0
215,255,159,0
216,255,155,0
217,255,151,0
218,255,147,0
219,255,143,0
220,255,139,0
221,255,135,0
222,255,131,0
223,255,128,0
224,255,124,0
225,255,120,0
226,255,116,0
227,255,112,0
228,255,108,0
229,255,104,0
230,255,100,0
231,255,96,0
232,255,92,0
233,255,88,0
234,255,84,0
235,255,80,0
236,255,76,0
237,255,72,0
238,255,68,0
239,255,64,0
240,253,60,0
241,251,56,0
242,249,52,0
243,247,48,0
244,245,44,0
245,243,40,0
246,241,36,0
247,240,32,0
248,238,28,0
249,236,24,0
250,234,20,0
251,232,16,0
252,230,12,0
253,228,8,0
254,226,4,0
255,224,0,0
