index,r,g,b
0,0,0,32
1,1,0,34
2,2,0,36
3,3,0,38
4,4,0,40
5,5,0,42
6,6,0,44
7,7,0,46
8,8,0,49
9,9,0,51
10,10,0,53
11,11,0,55
12,12,0,57
13,13,0,59
14,14,0,61
15,15,0,63
16,17,0,65
17,18,0,67
18,19,0,69
19,20,0,71
20,21,0,73
21,22,0,75
22,23,0,77
23,24,0,79
24,25,0,82
25,26,0,84
26,27,0,86
27,28,0,88
28,29,0,90
29,30,0,92
30,31,0,94
31,32,0,96
32,34,0,97
33,37,0,98
34,39,0,99
35,41,0,100
36,44,0,101
37,46,0,102
38,48,0,103
39,51,0,105
40,53,0,106
41,55,0,107
42,58,0,108
43,60,0,109
44,62,0,110
45,65,0,111
46,67,0,112
47,69,0,113
48,71,0,114
49,74,0,115
50,76,0,116
51,78,0,117
52,81,0,118
53,83,0,119
54,85,0,120
55,88,0,122
56,90,0,123
57,92,0,124
58,95,0,125
59,97,0,126
60,99,0,127
61,102,0,128
62,104,0,129
63,106,0,130
64,109,0,131
65,111,0,132
66,113,0,133
67,116,0,134
68,118,0,135
69,120,0,136
70,123,0,137
71,125,0,139
72,127,0,140
73,130,0,141
74,132,0,142
75,134,0,143
76,137,0,144
77,139,0,145
78,141,0,146
79,144,0,147
80,146,0,148
81,148,0,149
82,150,0,150
83,153,0,151
84,155,0,152
85,157,0,153
86,160,0,154
87,162,0,156
88,164,0,157
89,167,0,158
90,169,0,159
91,171,0,160
92,174,0,161
93,176,0,162
94,178,0,163
95,181,0,164
96,183,2,159
97,185,4,154
98,188,6,149
99,190,8,144
100,192,10,138
101,195,12,133
102,197,14,128
103,199,16,123
104,202,18,118
105,204,20,113
106,206,22,108
107,209,24,103
108,211,26,97
109,213,28,92
110,216,30,87
111,218,32,82
112,220,34,77
113,222,36,72
114,225,38,67
115,227,40,62
116,229,42,56
117,232,44,51
118,234,46,46
119,236,48,41
120,239,50,36
121,241,52,31
122,243,54,26
123,246,56,21
124,248,58,15
125,250,60,10
126,253,62,5
127,255,64,0
128,255,66,0
129,255,68,0
130,255,70,0
131,255,72,0
132,255,74,0
133,255,76,0
134,255,78,0
135,255,80,0
136,255,82,0
137,255,84,0
138,255,86,0
139,255,88,0
140,255,90,0
141,255,92,0
142,255,94,0
143,255,96,0
144,255,98,0
145,255,100,0
146,255,102,0
147,255,104,0
148,255,106,0
149,255,108,0
150,255,110,0
151,255,112,0
152,255,114,0
153,255,116,0
154,255,118,0
155,255,120,0
156,255,122,0
157,255,124,0
158,255,126,0
159,255,128,0
160,255,129,0
161,255,131,0
162,255,133,0
163,255,135,0
164,255,137,0
165,255,139,0
166,255,141,0
167,255,143,0
168,255,145,0
169,255,147,0
170,255,149,0
171,255,151,0
172,255,153,0
173,255,155,0
174,255,157,0
175,255,159,0
176,255,161,0
177,255,163,0
178,255,165,0
179,255,167,0
180,255,169,0
181,255,171,0
182,255,173,0
183,255,175,0
184,255,177,0
185,255,179,0
186,255,181,0
187,255,183,0
188,255,185,0
189,255,187,0
190,255,189,0
191,255,191,0
192,255,193,0
193,255,195,0
194,255,197,0
195,255,199,0
196,255,201,0
197,255,203,0
198,255,205,0
199,255,207,0
200,255,209,0
201,255,211,0
202,255,213,0
203,255,215,0
204,255,217,0
205,255,219,0
206,255,221,0
207,255,223,0
208,255,225,0
209,255,227,0
210,255,229,0
211,255,231,0
212,255,233,0
213,255,235,0
214,255,237,0
215,255,239,0
216,255,241,0
217,255,243,0
218,255,245,0
219,255,247,0
220,255,249,0
221,255,251,0
222,255,253,0
223,255,255,0
224,255,255,6
225,255,255,13
226,255,255,19
227,255,255,25
228,255,255,31
229,255,255,38
230,255,255,44
231,255,255,50
232,255,255,56
233,255,255,63
234,255,255,69
235,255,255,75
236,255,255,81
237,255,255,88
238,255,255,94
239,255,255,100
240,255,255,106
241,255,255,113
242,255,255,119
243,255,255,125
244,255,255,131
245,255,255,138
246,255,255,144
247,255,255,150
248,255,255,156
249,255,255,163
250,255,255,169
251,255,255,175
252,255,255,181
253,255,255,188
254,255,255,194
255,255,255,200
