index,r,g,b
0,0,0,131
1,0,0,135
2,0,0,139
3,0,0,143
4,0,0,147
5,0,0,151
6,0,0,155
7,0,0,159
8,0,0,163
9,0,0,167
10,0,0,171
11,0,0,175
12,0,0,179
13,0,0,183
14,0,0,187
15,0,0,191
16,0,0,195
17,0,0,199
18,0,0,203
19,0,0,207
20,0,0,211
21,0,0,215
22,0,0,219
23,0,0,223
24,0,0,227
25,0,0,231
26,0,0,235
27,0,0,239
28,0,0,243
29,0,0,247
30,0,0,251
31,0,0,255
32,0,3,255
33,0,7,255
34,0,11,255
35,0,15,255
36,0,19,255
37,0,23,255
38,0,27,255
39,0,31,255
40,0,35,255
41,0,39,255
42,0,43,255
43,0,47,255
44,0,51,255
45,0,55,255
46,0,59,255
47,0,63,255
48,0,67,255
49,0,71,255
50,0,75,255
51,0,79,255
52,0,83,255
53,0,87,255
54,0,91,255
55,0,95,255
56,0,99,255
57,0,103,255
58,0,107,255
59,0,111,255
60,0,115,255
61,0,119,255
62,0,123,255
63,0,127,255
64,0,131,255
65,0,135,255
66,0,139,255
67,0,143,255
68,0,147,255
69,0,151,255
70,0,155,255
71,0,159,255
72,0,163,255
73,0,167,255
74,0,171,255
75,0,175,255
76,0,179,255
77,0,183,255
78,0,187,255
79,0,191,255
80,0,195,255
81,0,199,255
82,0,203,255
83,0,207,255
84,0,211,255
85,0,215,255
86,0,219,255
87,0,223,255
88,0,227,255
89,0,231,255
90,0,235,255
91,0,239,255
92,0,243,255
93,0,247,255
94,0,251,255
95,0,255,255
96,3,255,251
97,7,255,247
98,11,255,243
99,15,255,239
100,19,255,235
101,23,255,231
102,27,255,227
103,31,255,223
104,35,255,219
105,39,255,215
106,43,255,211
107,47,255,207
108,51,255,203
109,55,255,199
110,59,255,195
111,63,255,191
112,67,255,187
113,71,255,183
114,75,255,179
115,79,255,175
116,83,255,171
117,87,255,167
118,91,255,163
119,95,255,159
120,99,255,155
121,103,255,151
122,107,255,147
123,111,255,143
124,115,255,139
125,119,255,135
126,123,255,131
127,127,255,127
128,131,255,123
129,135,255,119
130,139,255,115
131,143,255,111
132,147,255,107
133,151,255,103
134,155,255,99
135,159,255,95
136,163,255,91
137,167,255,87
138,171,255,83
139,175,255,79
140,179,255,75
141,183,255,71
142,187,255,67
143,191,255,63
144,195,255,59
145,199,255,55
146,203,255,51
147,207,255,47
148,211,255,43
149,215,255,39
150,219,255,35
151,223,255,31
152,227,255,27
153,231,255,23
154,235,255,19
155,239,255,15
156,243,255,11
157,247,255,7
158,251,255,3
159,255,255,0
160,255,251,0
161,255,247,0
162,255,243,0
163,255,239,0
164,255,235,0
165,255,231,0
166,255,227,0
167,255,223,0
168,255,219,0
169,255,215,0
170,255,211,0
171,255,207,0
172,255,203,0
173,255,199,0
174,255,195,0
175,255,191,0
176,255,187,0
177,255,183,0
178,255,179,0
179,255,175,0
180,255,171,0
181,255,167,0
182,255,163,0
183,255,159,0
184,255,155,0
185,255,151,0
186,255,147,0
187,255,143,0
188,255,139,0
189,255,135,0
190,255,131,0
191,255,127,0
192,255,123,0
193,255,119,0
194,255,115,0
195,255,111,0
196,255,107,0
197,255,103,0
198,255,99,0
199,255,95,0
200,255,91,0
201,255,87,0
202,255,83,0
203,255,79,0
204,255,75,0
205,255,71,0
206,255,67,0
207,255,63,0
208,255,59,0
209,255,55,0
210,255,51,0
211,255,47,0
212,255,43,0
213,255,39,0
214,255,35,0
215,255,31,0
216,255,27,0
217,255,23,0
218,255,19,0
219,255,15,0
220,255,11,0
221,255,7,0
222,255,3,0
223,255,0,0
224,251,0,0
225,247,0,0
226,243,0,0
227,239,0,0
228,235,0,0
229,231,0,0
230,227,0,0
231,223,0,0
232,219,0,0
233,215,0,0
234,211,0,0
235,207,0,0
236,203,0,0
237,199,0,0
238,195,0,0
239,191,0,0
240,187,0,0
241,183,0,0
242,179,0,0
243,175,0,0
244,171,0,0
245,167,0,0
246,163,0,0
247,159,0,0
248,155,0,0
249,151,0,0
250,147,0,0
251,143,0,0
252,139,0,0
253,135,0,0
254,131,0,0
255,127,0,0
