index,r,g,b
0,0,0,0
1,1,1,1
2,3,3,3
3,4,4,4
4,6,6,6
5,7,7,7
6,9,9,9
7,10,10,10
8,11,11,11
9,13,13,13
10,14,14,14
11,16,16,16
12,17,17,17
13,19,19,19
14,20,20,20
15,21,21,21
16,23,23,23
17,24,24,24
18,26,26,26
19,27,27,27
20,28,28,28
21,30,30,30
22,31,31,31
23,33,33,33
24,34,34,34
25,36,36,36
26,37,37,37
27,38,38,38
28,40,40,40
29,41,41,41
30,43,43,43
31,44,44,44
32,46,46,46
33,47,47,47
34,48,48,48
35,50,50,50
36,51,51,51
37,53,53,53
38,54,54,54
39,56,56,56
40,57,57,57
41,58,58,58
42,60,60,60
43,61,61,61
44,63,63,63
45,64,64,64
46,66,66,66
47,67,67,67
48,68,68,68
49,70,70,70
50,71,71,71
51,73,73,73
52,74,74,74
53,76,76,76
54,77,77,77
55,78,78,78
56,80,80,80
57,81,81,81
58,83,83,83
59,84,84,84
60,85,85,85
61,87,87,87
62,88,88,88
63,90,90,90
64,91,91,91
65,93,93,93
66,94,94,94
67,95,95,95
68,97,97,97
69,98,98,98
70,100,100,100
71,101,101,101
72,103,103,103
73,104,104,104
74,105,105,105
75,107,107,107
76,108,108,108
77,110,110,110
78,111,111,111
79,113,113,113
80,114,114,114
81,115,115,115
82,117,117,117
83,118,118,118
84,120,120,120
85,121,121,121
86,123,123,123
87,124,124,124
88,125,125,125
89,127,127,127
90,128,128,128
91,130,130,130
92,131,131,131
93,132,132,132
94,134,134,134
95,135,135,135
96,137,137,137
97,138,138,138
98,140,140,140
99,141,141,141
100,142,142,142
101,144,144,144
102,145,145,145
103,147,147,147
104,148,148,148
105,150,150,150
106,151,151,151
107,152,152,152
108,154,154,154
109,155,155,155
110,157,157,157
111,158,158,158
112,160,160,160
113,161,161,161
114,162,162,162
115,164,164,164
116,165,165,165
117,167,167,167
118,168,168,168
119,170,170,170
120,171,171,171
121,172,172,172
122,174,174,174
123,175,175,175
124,177,177,177
125,178,178,178
126,179,179,179
127,181,181,181
128,182,182,182
129,184,184,184
130,185,185,185
131,187,187,187
132,188,188,188
133,189,189,189
134,191,191,191
135,192,192,192
136,194,194,194
137,195,195,195
138,197,197,197
139,198,198,198
140,199,199,199
141,201,201,201
142,202,202,202
143,204,204,204
144,205,205,205
145,207,207,207
146,208,208,208
147,209,209,209
148,211,211,211
149,212,212,212
150,214,214,214
151,215,215,215
152,217,217,217
153,218,218,218
154,219,219,219
155,221,221,221
156,222,222,222
157,224,224,224
158,225,225,225
159,227,227,227
160,228,228,228
161,229,229,229
162,231,231,231
163,232,232,232
164,234,234,234
165,235,235,235
166,236,236,236
167,238,238,238
168,239,239,239
169,241,241,241
170,242,242,242
171,244,244,244
172,245,245,245
173,246,246,246
174,248,248,248
175,249,249,249
176,251,251,251
177,252,252,252
178,254,254,254
179,255,255,255
180,255,251,251
181,255,247,247
182,255,243,243
183,255,239,239
184,255,235,235
185,255,231,231
186,255,227,227
187,255,223,223
188,255,219,219
189,255,215,215
190,255,211,211
191,255,208,208
192,255,204,204
193,255,200,200
194,255,196,196
195,255,192,192
196,255,188,188
197,255,184,184
198,255,180,180
199,255,176,176
200,255,172,172
201,255,168,168
202,255,164,164
203,255,160,160
204,255,157,157
205,255,154,154
206,255,151,151
207,255,148,148
208,255,145,145
209,255,142,142
210,255,138,138
211,255,135,135
212,255,132,132
213,255,129,129
214,255,126,126
215,255,123,123
216,255,120,120
217,255,117,117
218,255,114,114
219,255,111,111
220,255,108,108
221,255,105,105
222,255,102,102
223,255,98,98
224,254,95,95
225,253,92,92
226,252,89,89
227,251,86,86
228,250,83,83
229,249,80,80
230,248,77,77
231,247,74,74
232,246,71,71
233,245,68,68
234,244,65,65
235,243,62,62
236,242,58,58
237,241,55,55
238,240,52,52
239,240,49,49
240,239,46,46
241,238,43,43
242,237,40,40
243,236,37,37
244,235,34,34
245,234,31,31
246,233,28,28
247,232,25,25
248,231,22,22
249,230,18,18
250,229,15,15
251,228,12,12
252,227,9,9
253,226,6,6
254,225,3,3
255,224,0,0
